textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,date,expName,psychopyVersion,OS,frameRate,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
10/10/1994,7469CAAE5A8FD27A6B014819C975AB79534EDAAE,27,,1,1,2,2,0.058333333,0.157407407,1,0,0,2.3528,secondChoice,1,"0.6093, 0.62259, 0.12696",4,0,0,0,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.186574074,0.031018519,1,0,0,1.708,fourthChoice,3,"0.86089, 0.28874, 0.19361",3,0,1,1,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.177777778,-0.056944444,1,0,0,1.4104,sixthChoice,5,"0.6, 0.043137, 0.035294",2,0,2,2,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.065277778,-0.190277778,1,0,0,1.9238,eighthChoice,7,"0.27689, 0.50341, 0.83205",3,0,3,3,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,0,0,0,0,1,resources/training.xlsx
,,,,,,,,-0.083796296,0.189351852,1,0,0,2.7335,firstChoice,0,"0.55294, 0.31373, 0.19216",7,0,0,0,14,1,resources/t1Model-yl.png,"0.43529, 0.22353, 0.12157","0.48425, 0.24604, 0.13103","0.74365, 0.40389, 0.19507","0.56078, 0.26667, 0.1451","0.35294, 0.16078, 0.070588","0.6, 0.35294, 0.22353","0.55294, 0.31373, 0.19216","0.30588, 0.12549, 0.043137",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.17962963,-0.052314815,1,0,0,1.1065,sixthChoice,5,"0.60278, 0.71367, 0.87522",2,0,1,1,18,1,resources/t1sky.png,"0.38039, 0.50588, 0.72941","0.60278, 0.71367, 0.87522","0.41001, 0.54883, 0.79353","0.54118, 0.65098, 0.81961","0.48627, 0.6, 0.78824","0.39516, 0.52728, 0.76134","0.50889, 0.63012, 0.83447","0.4494, 0.57426, 0.79097",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.183796296,0.040740741,1,0,0,3.4629,fourthChoice,3,"0.73725, 0.52941, 0.38431",1,0,2,2,7,1,resources/t1Model-LC.png,"0.73725, 0.52941, 0.38431","0.79679, 0.57109, 0.41322","0.66488, 0.37758, 0.19682","0.58431, 0.32157, 0.18431","0.61176, 0.34902, 0.18431","0.68627, 0.47059, 0.32941","0.81569, 0.61176, 0.47843","0.63529, 0.42353, 0.27451",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.191666667,0.059722222,1,0,0,6.3311,fourthChoice,3,"0.81569, 0.36863, 0.13333",8,0,3,3,16,1,resources/t1mysteryLightOr_hdrOff.png,"0.81569, 0.43922, 0.22353","0.8714, 0.46756, 0.23566","0.91794, 0.40919, 0.093393","0.77255, 0.29804, 0.07451","0.9098, 0.55294, 0.30196","0.88627, 0.50196, 0.23922","0.72941, 0.36471, 0.19608","0.81569, 0.36863, 0.13333",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.209722222,-0.053703704,1,0,0,2.3523,sixthChoice,5,"0.82745, 0.62745, 0.21569",4,0,4,4,15,1,resources/t1green22days1_hdrOff.png,"0.68235, 0.57255, 0.20784","0.72549, 0.62353, 0.15686","0.76987, 0.66176, 0.16087","0.82745, 0.62745, 0.21569","0.70588, 0.53725, 0.12549","0.7451, 0.66275, 0.27451","0.60784, 0.52941, 0.18824","0.65098, 0.51373, 0.18824",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.038425926,0.168981481,1,0,0,2.0126,secondChoice,1,"0.44713, 0.61369, 0.1255",8,0,5,5,17,1,resources/t1zpeppers.png,"0.35294, 0.47451, 0.15294","0.48235, 0.63529, 0.13725","0.37942, 0.51262, 0.16068","0.5104, 0.6743, 0.13948","0.41176, 0.59216, 0.11373","0.417, 0.55383, 0.14817","0.38255, 0.53277, 0.1372","0.44713, 0.61369, 0.1255",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
,,,,,,,,0.042592593,0.163425926,1,0,0,2.5164,secondChoice,1,"0.79608, 0.58039, 0.45098",7,0,6,6,10,1,resources/t1Model-Ol.png,"0.69412, 0.47451, 0.35294","0.7537, 0.51393, 0.381","0.75045, 0.43076, 0.25995","0.56863, 0.2902, 0.18039","0.52941, 0.28235, 0.15294","0.69412, 0.4, 0.24314","0.79608, 0.58039, 0.45098","0.58431, 0.37255, 0.24706",What is the color of the previous image?,2022-03-01_14h08.36.843,Representative Color,2021.2.3,Win32,23.21747812,,,,,,
