textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,date,expName,psychopyVersion,OS,frameRate,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
"02/03/22
",5BF031CA5722D609FB225A51EAE387D1757F33A7,23,,1,2,2,1,-0.161111111,-0.061111111,1,0,0,1.0227,fifthChoice,4,"0.6, 0.043137, 0.035294",2,0,0,0,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.160185185,-0.043981481,1,0,0,0.9383,fifthChoice,4,"0.53942, 0.56976, 0.20711",3,0,1,1,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,0.170833333,-0.046759259,1,0,0,1.0618,sixthChoice,5,"0.79608, 0.21569, 0.12941",6,0,2,2,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.198148148,0.043518519,1,0,0,1.3191,thirdChoice,2,"0.26275, 0.46667, 0.76863",1,0,3,3,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,0,0,0,0,1,resources/training.xlsx
,,,,,,,,0.227777778,0.068981481,1,0,0,1.1061,fourthChoice,3,"0.60784, 0.52941, 0.18824",7,0,0,0,15,1,resources/t1green22days1_hdrOff.png,"0.68235, 0.57255, 0.20784","0.72549, 0.62353, 0.15686","0.76987, 0.66176, 0.16087","0.82745, 0.62745, 0.21569","0.70588, 0.53725, 0.12549","0.7451, 0.66275, 0.27451","0.60784, 0.52941, 0.18824","0.65098, 0.51373, 0.18824",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.004166667,-0.171296296,1,0,0,2.6028,seventhChoice,6,"0.65882, 0.4, 0.25882",6,0,1,1,6,1,resources/t1Model-L.png,"0.52549, 0.2902, 0.16471","0.61569, 0.30588, 0.18039","0.57757, 0.31686, 0.1774","0.66902, 0.33001, 0.19272","0.47843, 0.25098, 0.13333","0.65882, 0.4, 0.25882","0.61176, 0.36078, 0.23137","0.41961, 0.20784, 0.094118",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.221759259,0.002314815,1,0,0,0.9809,fifthChoice,4,"0.60784, 0.39216, 0.26667",1,0,2,2,3,1,resources/t1Model-A.png,"0.60784, 0.39216, 0.26667","0.59216, 0.31765, 0.21569","0.66468, 0.4273, 0.28886","0.64755, 0.3451, 0.23286","0.72157, 0.47059, 0.33333","0.42353, 0.18824, 0.094118","0.50588, 0.29804, 0.19608","0.56078, 0.3451, 0.23529",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.184722222,-0.069444444,1,0,0,1.2758,fifthChoice,4,"0.56863, 0.32157, 0.19216",7,0,3,3,5,1,resources/t1Model-J.png,"0.74118, 0.41961, 0.23529","0.52414, 0.27049, 0.13884","0.79714, 0.44966, 0.25005","0.63529, 0.38824, 0.21569","0.70588, 0.43922, 0.2549","0.64314, 0.33725, 0.18431","0.56863, 0.32157, 0.19216","0.4549, 0.23137, 0.12157",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
,,,,,,,,-0.193518519,-0.063425926,1,0,0,1.3249,fifthChoice,4,"0.80392, 0.60392, 0.49412",7,0,4,4,12,1,resources/t1Model-Y.png,"0.72941, 0.52157, 0.4","0.78972, 0.56355, 0.43105","0.64714, 0.32317, 0.22415","0.62353, 0.34902, 0.22353","0.59216, 0.29804, 0.20784","0.6902, 0.47843, 0.36471","0.80392, 0.60392, 0.49412","0.60784, 0.39216, 0.26275",What is the color of the previous image?,2022-03-02_14h32.13.215,Representative Color,2021.2.3,Win32,23.22233059,,,,,,
