textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,date,expName,psychopyVersion,OS,frameRate,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
3/2/2022,C5B326E4D436C36C9FA505B616D63C5533B94A52,22,,1,2,2,2,-0.182407386,0.079166654,1,0,0,5.8929,thirdChoice,2,"0.68627, 0.71373, 0.26667",5,0,0,0,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,-0.078240717,0.173148138,1,0,0,7.1619,firstChoice,0,"0.21025, 0.38424, 0.70588",6,0,1,1,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.161574105,0.050925913,1,0,0,4.8262,fourthChoice,3,"0.88235, 0.33333, 0.21176",4,0,2,2,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.145833364,0.03935181,1,0,0,3.0784,fourthChoice,3,"0.6, 0.043137, 0.035294",2,0,3,3,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,0,0,0,0,1,resources/training.xlsx
,,,,,,,,-0.048148067,-0.15324076,1,0,0,6.7136,seventhChoice,6,"0.69412, 0.4, 0.24314",6,0,0,0,10,1,resources/t1Model-Ol.png,"0.69412, 0.47451, 0.35294","0.7537, 0.51393, 0.381","0.75045, 0.43076, 0.25995","0.56863, 0.2902, 0.18039","0.52941, 0.28235, 0.15294","0.69412, 0.4, 0.24314","0.79608, 0.58039, 0.45098","0.58431, 0.37255, 0.24706",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.033333361,0.147685175,1,0,0,6.0821,secondChoice,1,"0.37836, 0.0080068, 0.055199",3,0,1,1,1,1,resources/t1DSC_0021.png,"0.16863, 0.027451, 0.035294","0.34118, 0.023529, 0.05098","0.37836, 0.0080068, 0.055199","0.37255, 0.12157, 0.18431","0.34902, 0.043137, 0.094118","0.41569, 0.23529, 0.29804","0.21569, 0.0078431, 0.019608","0.44314, 0.16863, 0.21961",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.168981513,-0.059722239,1,0,0,7.2482,sixthChoice,5,"0.64714, 0.32317, 0.22415",3,0,2,2,12,1,resources/t1Model-Y.png,"0.72941, 0.52157, 0.4","0.78972, 0.56355, 0.43105","0.64714, 0.32317, 0.22415","0.62353, 0.34902, 0.22353","0.59216, 0.29804, 0.20784","0.6902, 0.47843, 0.36471","0.80392, 0.60392, 0.49412","0.60784, 0.39216, 0.26275",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.136111142,0.076851811,1,0,0,6.2478,fourthChoice,3,"0.30588, 0.41569, 0.18824",1,0,3,3,19,1,resources/t1zgrass.png,"0.30588, 0.41569, 0.18824","0.36341, 0.42546, 0.21823","0.33318, 0.45547, 0.20282","0.32157, 0.38039, 0.19216","0.27231, 0.37211, 0.15269","0.31422, 0.39807, 0.19031","0.34895, 0.44055, 0.21071","0.28046, 0.35484, 0.15506",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,0.054166695,-0.150000019,1,0,0,5.3817,eighthChoice,7,"0.49412, 0.28627, 0.16471",7,0,4,4,11,1,resources/t1Model-R.png,"0.56863, 0.34902, 0.22353","0.54902, 0.27843, 0.15686","0.62375, 0.38114, 0.24213","0.60078, 0.30229, 0.16803","0.48235, 0.24314, 0.13333","0.65098, 0.41176, 0.28235","0.49412, 0.28627, 0.16471","0.54118, 0.31373, 0.19216",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
,,,,,,,,-0.160185163,-0.059722239,1,0,0,4.8311,fifthChoice,4,"0.41001, 0.54883, 0.79353",3,0,5,5,18,1,resources/t1sky.png,"0.38039, 0.50588, 0.72941","0.60278, 0.71367, 0.87522","0.41001, 0.54883, 0.79353","0.54118, 0.65098, 0.81961","0.48627, 0.6, 0.78824","0.39516, 0.52728, 0.76134","0.50889, 0.63012, 0.83447","0.4494, 0.57426, 0.79097",What is the color of the previous image?,2022-03-02_10h09.11.959,Representative Color,2021.2.3,Win32,60.14675809,,,,,,
